# Title: Global Land Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1901-2000
# Missing: -999
Date,Anomaly
199203,0.84
199204,0.21
199205,0.33
199206,0.20
199207,-0.09
199208,-0.08
199209,-0.30
199210,-0.14
199211,-0.15
199212,0.26
199301,0.50
199302,0.68
199303,0.62
199304,0.39
199305,0.25
199306,0.27
199307,0.28
199308,0.07
199309,0.07
199310,0.30
199311,-0.23
199312,0.20
199401,0.28
199402,-0.28
199403,0.40
199404,0.64
199405,0.39
199406,0.70
199407,0.37
199408,0.17
199409,0.52
199410,0.67
199411,0.54
199412,0.40
199501,0.93
199502,1.58
199503,0.82
199504,0.87
199505,0.38
199506,0.74
199507,0.76
199508,0.89
199509,0.67
199510,0.71
199511,0.75
199512,0.38
199601,0.31
199602,0.88
199603,0.49
199604,0.36
199605,0.37
199606,0.19
199607,0.55
199608,0.69
199609,0.22
199610,0.07
199611,0.64
199612,0.48
199701,0.20
199702,0.43
199703,0.84
199704,0.50
199705,0.34
199706,0.71
199707,0.26
199708,0.36
199709,0.72
199710,0.81
199711,0.76
199712,0.55
199801,0.62
199802,1.26
199803,0.81
199804,1.04
199805,0.93
199806,1.06
199807,1.04
199808,1.12
199809,0.73
199810,0.55
199811,0.49
199812,1.02
199901,0.73
199902,1.36
199903,0.30
199904,0.38
199905,0.35
199906,0.61
199907,0.57
199908,0.61
199909,0.75
199910,0.57
199911,0.64
199912,0.89
200001,0.40
200002,1.02
200003,0.98
200004,1.17
200005,0.51
200006,0.62
200007,0.60
200008,0.64
200009,0.62
200010,0.21
200011,0.24
200012,0.20
200101,0.68
200102,0.59
200103,0.81
200104,0.72
200105,0.83
200106,0.64
200107,0.92
200108,0.69
200109,0.76
200110,0.54
200111,1.20
200112,0.98
200201,1.19
200202,1.14
200203,1.53
200204,0.70
200205,1.01
200206,0.73
200207,1.00
200208,0.84
200209,0.93
200210,0.80
200211,0.88
200212,0.57
200301,1.25
200302,0.96
200303,0.79
200304,0.82
200305,0.88
200306,0.52
200307,0.72
200308,0.86
200309,1.00
200310,1.18
200311,0.69
200312,1.31
200401,0.92
200402,1.07
200403,1.06
200404,0.85
200405,0.33
200406,0.46
200407,0.15
200408,0.49
200409,0.67
200410,0.89
200411,1.15
200412,0.68
200501,1.41
200502,1.01
200503,1.31
200504,1.13
200505,0.99
200506,0.99
200507,0.88
200508,0.75
200509,1.16
200510,1.35
200511,1.52
200512,1.43
200601,0.99
200602,1.49
200603,1.18
200604,0.77
200605,0.73
200606,0.95
200607,0.70
200608,1.13
200609,0.99
200610,1.11
200611,1.05
200612,1.40
200701,1.81
200702,1.18
200703,1.24
200704,1.60
200705,1.13
200706,0.90
200707,0.96
200708,0.98
200709,1.08
200710,1.17
200711,1.21
200712,1.03
200801,0.29
200802,0.45
200803,1.56
200804,0.91
200805,0.83
200806,0.63
200807,0.89
200808,0.66
200809,0.93
200810,1.21
200811,1.37
200812,1.02
200901,1.27
200902,0.90
200903,0.80
200904,0.85
200905,0.87
200906,0.81
200907,1.02
200908,0.94
200909,1.27
200910,1.02
200911,1.21
200912,0.93
201001,1.10
201002,1.32
201003,1.53
201004,1.49
201005,1.23
201006,0.99
201007,0.96
201008,0.94
201009,1.04
201010,1.30
201011,1.64
201012,0.83
201101,0.93
201102,0.79
201103,1.20
201104,1.24
201105,0.82
201106,0.93
201107,1.21
201108,1.25
201109,1.08
201110,1.31
201111,0.94
201112,1.14
201201,0.87
201202,0.83
201203,0.88
201204,1.38
201205,1.34
201206,1.17
201207,0.88
201208,0.93
201209,1.17
201210,1.33
201211,1.29
201212,0.60
201301,1.20
201302,0.91
201303,1.04
201304,0.82
201305,0.98
201306,1.14
201307,0.74
201308,0.93
201309,1.23
201310,1.03
201311,1.37
201312,1.19
201401,1.29
201402,0.78
201403,1.44
201404,1.26
201405,1.28
201406,0.84
201407,0.66
201408,1.12
201409,1.20
201410,1.14
201411,0.84
201412,1.28
201501,1.37
201502,1.58
201503,1.66
201504,1.17
201505,1.08
201506,1.15
201507,0.90
201508,1.02
201509,1.23
201510,1.60
201511,1.56
201512,1.78
201601,1.96
201602,2.52
201603,2.46
201604,1.92
201605,1.40
201606,0.99
201607,1.11
201608,1.53
201609,1.47
201610,1.26
201611,1.64
201612,1.51
201701,1.80
201702,1.94
201703,1.96
201704,1.44
201705,1.35
201706,0.91
201707,1.10
201708,1.17
201709,1.28
201710,1.48
201711,1.48
201712,1.84
201801,1.43
201802,1.61
201803,1.48
201804,1.46
201805,1.23
201806,1.14
201807,1.24
201808,1.16
201809,1.13
201810,1.67
201811,1.14
201812,1.45
201901,1.46
201902,1.37
201903,2.11
201904,1.74
201905,1.31
201906,1.19
201907,1.20
201908,1.27
201909,1.43
201910,1.67
201911,1.53
201912,1.94
202001,1.96
202002,2.18
202003,1.89
202004,1.86
202005,1.52
202006,1.33
202007,1.25
202008,1.24
202009,1.68
202010,1.51
202011,2.09
202012,1.43
202101,1.47
202102,0.90
202103,1.58
202104,1.26
202105,1.25
202106,1.22
202107,1.33
202108,1.31
202109,1.50
202110,1.71
202111,1.55
202112,1.52
202201,1.50
202202,1.48
202203,2.00
202204,1.44
202205,1.23
202206,1.41
202207,1.37
202208,1.35
202209,1.27
202210,1.61
202211,0.95
202212,1.16
202301,1.39
202302,1.74
202303,2.17
202304,1.29
202305,1.23
202306,1.40
202307,1.58
202308,1.76
202309,2.31
202310,2.15
202311,2.36
202312,2.21
