# Title: December 2023 Global Gridded Average Temperature
# Units: Degrees Celsius
# Base Period: 1991-2020
# Missing: -999.00
Latitude,Longitude,Anomaly,Rank
-62.5,197.5,0.41,129
-62.5,202.5,0.31,114
-62.5,207.5,0.14,93
-62.5,212.5,0.05,79
-62.5,217.5,0,74
-62.5,222.5,-0.13,57
-62.5,227.5,-0.3,52
-62.5,232.5,-0.41,48
-62.5,237.5,-0.5,47
-62.5,242.5,-0.67,36
-62.5,247.5,-0.8,25
-62.5,252.5,-0.89,18
-62.5,257.5,-0.95,15
-62.5,262.5,-1,16
-62.5,267.5,-1.02,20
-62.5,272.5,-1.01,23
-62.5,277.5,-0.91,23
-62.5,282.5,-0.9,21
-62.5,287.5,-0.84,19
-62.5,292.5,-0.62,19
-62.5,297.5,-0.21,61
-62.5,302.5,0.01,109
-62.5,307.5,0.13,144
-62.5,312.5,0.13,147
-62.5,317.5,0.4,166
-62.5,322.5,0.58,173
-62.5,327.5,0.53,170
-62.5,332.5,0.61,173
-62.5,337.5,0.57,171
-62.5,342.5,0.45,167
-62.5,347.5,0.33,163
-62.5,352.5,0.21,159
-62.5,357.5,0.19,155
-57.5,2.5,0.51,174
-57.5,7.5,0.5,174
-57.5,12.5,0.49,174
-57.5,17.5,0.45,174
-57.5,22.5,0.35,173
-57.5,27.5,0.3,173
-57.5,32.5,0.31,173
-57.5,37.5,0.29,170
-57.5,42.5,0.25,170
-57.5,47.5,0.19,168
-57.5,52.5,0.13,159
-57.5,57.5,0.07,150
-57.5,62.5,0.04,147
-57.5,67.5,0,131
-57.5,72.5,0.01,133
-57.5,77.5,0.06,143
-57.5,82.5,0.11,157
-57.5,87.5,0.16,165
-57.5,92.5,0.14,160
-57.5,97.5,0.15,163
-57.5,102.5,0.16,161
-57.5,107.5,0.11,144
-57.5,112.5,0.03,125
-57.5,117.5,-0.04,118
-57.5,122.5,-0.13,104
-57.5,127.5,-0.29,59
-57.5,132.5,-0.45,23
-57.5,137.5,-0.62,16
-57.5,142.5,-0.73,12
-57.5,147.5,-0.56,20
-57.5,152.5,-0.35,30
-57.5,157.5,-0.22,53
-57.5,162.5,-0.16,61
-57.5,167.5,-0.01,89
-57.5,172.5,0.05,109
-57.5,177.5,0.09,126
-57.5,182.5,0.29,149
-57.5,187.5,0.39,146
-57.5,192.5,0.4,138
-57.5,197.5,0.39,133
-57.5,202.5,0.39,131
-57.5,207.5,0.3,123
-57.5,212.5,0.21,111
-57.5,217.5,0.23,115
